FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230111;0000;11;;;
230112;0000;8;;;
230113;0000;10;;;
230114;0000;11;;;
230115;0000;9;;;
230116;0000;16;;;
230117;0000;15;;;
230118;0000;17;;;
230119;0000;14;;;
230120;0000;12;;;
230121;0000;12;;;
230122;0000;14;;;
230123;0000;13;;;
230124;0000;9;;;
230125;0000;9;;;
230126;0000;10;;;
230127;0000;16;;;
230128;0000;12;;;
230129;0000;10;;;
230130;0000;10;;;
230131;0000;9;;;
230201;0000;13;;;
230202;0000;18;;;
230203;0000;24;;;
230204;0000;20;;;
230205;0000;20;;;
230206;0000;47;;;
230207;0000;67;;;
230208;0000;62;;;
230209;0000;78;;;
230210;0000;58;;;
230211;0000;46;;;
230212;0000;35;;;
230213;0000;11;;;
230214;0000;15;;;
230215;0000;15;;;
230216;0000;17;;;
230217;0000;15;;;
230218;0000;15;;;
230219;0000;11;;;
230220;0000;14;;;
230221;0000;22;;;
230222;0000;26;;;
230223;0000;21;;;
230224;0000;18;;;
230225;0000;16;;;
230226;0000;15;;;
230227;0000;14;;;
230228;0000;15;;;
230301;0000;16;;;
230302;0000;14;;;
230303;0000;17;;;
230304;0000;18;;;
230305;0000;14;;;
230306;0000;15;;;
230307;0000;13;;;
230308;0000;10;;;
230309;0000;12;;;
230310;0000;11;;;
230311;0000;12;;;
230312;0000;9;;;
230313;0000;;;;
230314;0000;;;;
230315;0000;;;;
230316;0000;;;;
230317;0000;;;;
230318;0000;16;;;
230319;0000;10;;;
230320;0000;13;;;
230321;0000;15;;;
230322;0000;16;;;
230323;0000;18;;;
230324;0000;18;;;
230325;0000;21;;;
230326;0000;16;;;
230327;0000;22;;;
230328;0000;22;;;
230329;0000;16;;;
230330;0000;17;;;
230331;0000;17;;;
230401;0000;14;;;
230402;0000;14;;;
230403;0000;14;;;
230404;0000;15;;;
230405;0000;14;;;
230406;0000;19;;;
230407;0000;13;;;
230408;0000;13;;;
230409;0000;15;;;
230410;0000;17;;;
230411;0000;13;;;
230412;0000;11;;;
230413;0000;11;;;
230414;0000;15;;;
230415;0000;19;;;
230416;0000;19;;;
230417;0000;17;;;
230418;0000;19;;;
230419;0000;16;;;
230420;0000;12;;;
230421;0000;17;;;
230422;0000;20;;;
230423;0000;18;;;
230424;0000;22;;;
230425;0000;20;;;
230426;0000;28;;;
230427;0000;43;;;
230428;0000;33;;;
230429;0000;10;;;
230430;0000;9;;;
230501;0000;12;;;
230502;0000;22;;;
230503;0000;27;;;
230504;0000;35;;;
230505;0000;51;;;
230506;0000;58;;;
230507;0000;49;;;
230508;0000;39;;;
230509;0000;24;;;
230510;0000;24;;;
230511;0000;24;;;
230512;0000;18;;;
230513;0000;29;;;
230514;0000;33;;;
230515;0000;33;;;
230516;0000;31;;;
230517;0000;11;;;
230518;0000;17;;;
230519;0000;27;;;
230520;0000;37;;;
230521;0000;48;;;
230522;0000;20;;;
230523;0000;22;;;
230524;0000;19;;;
230525;0000;26;;;
230526;0000;19;;;
230527;0000;36;;;
230528;0000;47;;;
230529;0000;47;;;
230530;0000;49;;;
230531;0000;39;;;
230601;0000;36;;;
230602;0000;26;;;
230603;0000;33;;;
230604;0000;31;;;
230605;0000;27;;;
230606;0000;34;;;
230607;0000;38;;;
230608;0000;24;;;
230609;0000;7;;;
230610;0000;18;;;
230611;0000;32;;;
230612;0000;38;;;
230613;0000;38;;;
230614;0000;33;;;
230615;0000;28;;;
230616;0000;31;;;
230617;0000;32;;;
230618;0000;31;;;
230619;0000;30;;;
230620;0000;33;;;
230621;0000;23;;;
230622;0000;9;;;
230623;0000;9;;;
230624;0000;16;;;
230625;0000;20;;;
230626;0000;17;;;
230627;0000;18;;;
230628;0000;42;;;
230629;0000;23;;;
230630;0000;23;;;
230701;0000;35;;;
230702;0000;38;;;
230703;0000;30;;;
230704;0000;15;;;
230705;0000;16;;;
230706;0000;28;;;
230707;0000;35;;;
230708;0000;31;;;
230709;0000;24;;;
